"ИНВ №","Т","ЧД","МОД","ДО"
9394,39.9,32,6.8,0.213
394,38.8,27,9.8,0.363
9396,39.0,22,4.7,0.214
396,39.7,20,2.5,0.125
9571,39.0,34,9.1,0.268
571,38.7,37,8.2,0.222
9332,38.8,34,16.1,0.474
332,39.0,32,16.1,0.503
9392,39.3,26,8.0,0.308
392,38.8,26,11.4,0.438
9398,39.0,16,6.0,0.375
398,40.2,19,3.5,0.184
9599,38.8,26,12.2,0.469
599,38.7,26,10.5,0.404
334,38.7,30,26.0,0.867
386,39.1,28,15.9,0.568
388,39.1,36,18.5,0.514
390,39.0,27,9.3,0.344
8820,38.8,47,27.6,0.587
8826,38.9,25,15.6,0.624
8860,39.0,33,13.5,0.409
8877,39.6,30,19.0,0.633
8848,39.0,50,14.8,0.296
8840,40.5,55,14.9,0.271
