"ИНВ №","ПЭГ-2000","ДЦГ-18К6","МО/ПС","ТХ-100","БКЗ/ПС","УНТ","ПЭГСб","Tw","А12","А13","А14","A15","A16","A17","A18","A23","A24","A25","A26","A27","A28","A34","A35","A36","A37","A38","A45","A46","A47","A48","A56","A57","A58","A67","A68","A78"
9394,15,11,6,12,8,5,11,8,1.4,2.5,1.3,1.9,3.0,1.4,1.9,1.8,0.9,1.4,2.2,1.0,1.4,0.5,0.8,1.2,0.5,0.8,1.5,2.4,1.1,1.5,1.6,0.7,1.0,0.5,0.6,1.4
394,19,16,8,15,10,6,14,10,1.2,2.4,1.3,1.9,3.2,1.4,1.9,2.0,1.1,1.6,2.7,1.1,1.6,0.5,0.8,1.3,0.6,0.8,1.5,2.5,1.1,1.5,1.7,0.7,1.0,0.4,0.6,1.4
9396,22,16,8,14,10,8,15,10,1.4,2.8,1.6,2.2,2.8,1.5,2.2,2.0,1.1,1.6,2.0,1.1,1.6,0.6,0.8,1.0,0.5,0.8,1.4,1.8,0.9,1.4,1.3,0.7,1.0,0.5,0.8,1.5
396,19,13,7,12,9,7,15,9,1.5,2.7,1.6,2.1,2.7,1.3,2.1,1.9,1.1,1.4,1.9,0.9,1.4,0.6,0.8,1.0,0.5,0.8,1.3,1.7,0.8,1.3,1.3,0.6,1.0,0.5,0.8,1.7
9571,19,14,8,15,9,6,13,10,1.4,2.4,1.3,2.1,3.2,1.5,1.9,1.8,0.9,1.6,2.3,1.1,1.4,0.5,0.9,1.3,0.6,0.8,1.7,2.5,1.2,1.5,1.5,0.7,0.9,0.5,0.6,1.3
571,18,14,8,12,8,5,12,10,1.3,2.3,1.5,2.3,3.6,1.5,1.8,1.8,1.2,1.8,2.8,1.2,1.4,0.7,1.0,1.6,0.7,0.8,1.5,2.4,1.0,1.2,1.6,0.7,0.8,0.4,0.5,1.2
9332,17,13,7,12,8,4,14,9,1.3,2.4,1.4,2.1,4.3,1.2,1.9,1.9,1.1,1.6,3.3,0.9,1.4,0.6,0.9,1.8,0.5,0.8,1.5,3.0,0.9,1.3,2.0,0.6,0.9,0.3,0.4,1.6
332,17,10,7,11,7,4,12,8,1.7,2.4,1.5,2.4,4.3,1.4,2.1,1.4,0.9,1.4,2.5,0.8,1.3,0.6,1.0,1.8,0.6,0.9,1.6,2.8,0.9,1.4,1.8,0.6,0.9,0.3,0.5,1.5
"332 п",16,12,8,12,8,5,10,9,1.3,2.0,1.3,2.0,3.2,1.6,1.8,1.5,1.0,1.5,2.4,1.2,1.3,0.7,1.0,1.6,0.8,0.9,1.5,2.4,1.2,1.3,1.6,0.8,0.9,0.5,0.6,1.1
9392,17,12,7,13,8,5,13,9,1.4,2.4,1.3,2.1,3.4,1.3,1.9,1.7,0.9,1.5,2.4,0.9,1.3,0.5,0.9,1.4,0.5,0.8,1.6,2.6,1.0,1.4,1.6,0.6,0.9,0.4,0.6,1.4
